hg19.knownGene.name	hg19.knownGene.chrom	hg19.knownGene.strand	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.knownToLocusLink.value	hg19.knownToEnsembl.value	hg19.kgXref.geneSymbol
uc009vlh.3	chr1	+	2985741	3355185	63976	ENST00000441472	PRDM16
uc001akc.3	chr1	+	2985741	3355185	63976	ENST00000442529	PRDM16
uc009vli.1	chr1	+	3388170	3391021	27237	ENST00000464620	ARHGEF16
uc001akg.4	chr1	+	3371146	3397677	27237	ENST00000378378	ARHGEF16
uc001aki.3	chr1	+	3382568	3397677	27237	ENST00000378373	ARHGEF16
uc001akj.3	chr1	+	3383534	3397677	27237	ENST00000378371	ARHGEF16
uc010nzh.2	chr1	+	3388170	3397677	27237	ENST00000378373	ARHGEF16
uc001akk.3	chr1	-	3404505	3448012	1953	ENST00000294599	MEGF6
uc001akl.3	chr1	-	3404505	3528059	1953	ENST00000356575	MEGF6
uc009vll.3	chr1	+	3614609	3625098	7161	ENST00000604194	TP73
uc010nzj.2	chr1	+	3607235	3646315	7161	ENST00000603364	TP73
uc001akp.3	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021ofc.1	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021ofd.1	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021ofe.1	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021off.1	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021ofb.1	chr1	+	3569128	3652765	7161	ENST00000604074	TP73
uc001aks.3	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc021ofg.1	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc021ofh.1	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc021ofi.1	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc001akr.3	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc009vlk.2	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc010nzk.2	chr1	+	3614609	3652765	7161	ENST00000378288	TP73
uc010nzl.2	chr1	+	3644041	3652765	7161	ENST00000378288	TP73
uc001akx.1	chr1	-	3696783	3713068	57470	ENST00000378251	LRRC47
uc009vln.1	chr1	+	3773844	3782564	1677	ENST00000338895	DFFB
uc001ala.1	chr1	+	3773844	3782962	1677	ENST00000341385	DFFB
uc009vlo.1	chr1	+	3773844	3783050	1677	ENST00000338895	DFFB
uc001alc.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc001ale.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc009vlp.3	chr1	+	3773844	3801993	1677	ENST00000491998	DFFB
uc001alb.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc010nzn.2	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc009vlq.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc009vlr.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc001ald.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc001alf.3	chr1	-	3805696	3816857	339448	ENST00000474140	C1orf174
uc009vls.3	chr1	-	3805696	3816857	339448	ENST00000486765	C1orf174
uc031pkz.1	chr1	-	3808872	3816857	339448	ENST00000474140	C1orf174
uc001alm.1	chr1	+	4715104	4837854	55966	ENST00000378190	AJAP1
uc001aln.3	chr1	+	4715104	4843851	55966	ENST00000378191	AJAP1
uc001alr.1	chr1	-	5922870	5928435	261734	ENST00000378161	NPHP4
uc009vlu.2	chr1	-	5946554	5965543	261734	ENST00000466897	NPHP4
uc001alq.2	chr1	-	5922869	6052533	261734	ENST00000489180	NPHP4
uc001als.2	chr1	-	5936013	6052533	261734	ENST00000489180	NPHP4
uc009vlt.2	chr1	-	5937152	6052533	261734	ENST00000489180	NPHP4
uc001alt.3	chr1	-	5937152	6052533	261734	ENST00000378156	NPHP4
uc001alu.3	chr1	+	6086072	6158621	8514	ENST00000602612	KCNAB2
uc009vlv.2	chr1	+	6052357	6161253	8514	ENST00000378097	KCNAB2
uc001alv.2	chr1	+	6086072	6161253	8514	ENST00000378097	KCNAB2
uc001alw.2	chr1	+	6086072	6161253	8514	ENST00000378097	KCNAB2
uc001alx.2	chr1	+	6094347	6161253	8514	ENST00000164247	KCNAB2
uc001aly.2	chr1	+	6105980	6161253	8514	ENST00000378083	KCNAB2
uc009vlw.2	chr1	+	6105980	6161253	8514	ENST00000378083	KCNAB2
uc001amd.3	chr1	-	6245079	6259679	6146	ENST00000234875	RPL22
uc001ame.3	chr1	-	6245079	6259679	6146	ENST00000234875	RPL22
uc001amk.3	chr1	-	6281252	6296044	23463	ENST00000343813	ICMT
uc001aml.3	chr1	-	6281252	6296044	23463	ENST00000343813	ICMT
uc001amq.3	chr1	-	6324331	6419004	11332	ENST00000377842	ACOT7
uc001amr.3	chr1	-	6324331	6420764	11332	ENST00000377845	ACOT7
uc001ams.3	chr1	-	6324331	6445883	11332	ENST00000377855	ACOT7
uc001amt.3	chr1	-	6324331	6453826	11332	ENST00000361521	ACOT7
uc001amu.3	chr1	-	6324331	6453826	11332	ENST00000361521	ACOT7
uc001amy.3	chr1	+	6484847	6521004	83715	ENST00000377828	ESPN
uc001amz.3	chr1	+	6508102	6521004	83715	ENST00000461727	ESPN
uc031pla.1	chr1	-	6521213	6523682	8718	ENST00000473343	TNFRSF25
uc001anf.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001ang.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001anh.3	chr1	-	6521213	6526255	8718	ENST00000377782	TNFRSF25
uc001ana.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001anb.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001anc.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001and.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc009vlz.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001ane.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001ani.1	chr1	-	6524170	6526255	8718	ENST00000453341	TNFRSF25
uc001anj.1	chr1	-	6526151	6531643	57449	ENST00000400913	PLEKHG5
uc009vma.1	chr1	-	6526151	6537718	57449	ENST00000489097	PLEKHG5
uc010nzr.1	chr1	-	6526151	6545529	57449	ENST00000400913	PLEKHG5
uc001ank.1	chr1	-	6526151	6546014	57449	ENST00000400913	PLEKHG5
uc009vmb.2	chr1	-	6526151	6550654	57449	ENST00000340850	PLEKHG5
uc001anl.2	chr1	-	6526151	6550654	57449	ENST00000340850	PLEKHG5
uc001anm.2	chr1	-	6526151	6551761	57449	ENST00000400913	PLEKHG5
uc001ann.1	chr1	-	6526151	6556756	57449	ENST00000377748	PLEKHG5
uc031plb.1	chr1	-	6526151	6557156	57449	ENST00000377748	PLEKHG5
uc001ano.1	chr1	-	6526151	6557484	57449	ENST00000377748	PLEKHG5
uc001anq.2	chr1	-	6526151	6580121	57449	ENST00000377748	PLEKHG5
uc001anp.2	chr1	-	6526151	6580121	57449	ENST00000377748	PLEKHG5
uc001ans.3	chr1	-	6581406	6614658	79707	ENST00000377705	NOL9
uc010nzs.2	chr1	-	6581406	6614658	79707	ENST00000377705	NOL9
uc009vmc.2	chr1	+	6640055	6649340	3104	ENST00000377674	ZBTB48
uc001anx.3	chr1	+	6640062	6649340	3104	ENST00000377674	ZBTB48
uc009vmd.2	chr1	+	6640068	6649340	3104	ENST00000377674	ZBTB48
uc001any.2	chr1	+	6645361	6649340	3104	ENST00000482360	ZBTB48
uc001aof.2	chr1	-	6694227	6761966	55735	ENST00000377577	DNAJC11
uc001aog.2	chr1	-	6694227	6761966	55735	ENST00000377577	DNAJC11
uc010nzu.1	chr1	-	6694227	6761966	55735	ENST00000377577	DNAJC11
uc001aoh.3	chr1	+	6845383	6932107	23261	ENST00000473578	CAMTA1
uc021ofq.1	chr1	+	6845383	6948261	23261	ENST00000476163	CAMTA1
uc021ofr.1	chr1	+	6845383	6948261	23261	ENST00000476163	CAMTA1
uc010nzv.1	chr1	+	7732053	7805082	23261	ENST00000439411	CAMTA1
uc001aoi.3	chr1	+	6845383	7829766	23261	ENST00000303635	CAMTA1
uc001aok.4	chr1	+	7740147	7829766	23261	ENST00000303635	CAMTA1
uc001aoj.3	chr1	+	7796403	7829766	23261	ENST00000303635	CAMTA1
uc009vmf.3	chr1	+	7804894	7829766	23261	ENST00000303635	CAMTA1
uc001aol.3	chr1	+	7831328	7841492	9341	ENST00000054666	VAMP3
uc001aon.3	chr1	+	7844379	7864018	8863	ENST00000377541	PER3
uc009vmg.1	chr1	+	7844439	7890221	8863	ENST00000377532	PER3
uc009vmh.1	chr1	+	7844713	7890221	8863	ENST00000377532	PER3
uc001aoo.3	chr1	+	7844713	7905237	8863	ENST00000377532	PER3
uc001aop.3	chr1	+	7844713	7905237	8863	ENST00000377532	PER3
uc010nzw.2	chr1	+	7844713	7905237	8863	ENST00000377532	PER3
uc001aor.3	chr1	-	7907671	7913178	10911	ENST00000361696	UTS2
uc001aos.3	chr1	-	7907671	7913565	10911	ENST00000377516	UTS2
uc001aoq.3	chr1	-	7903142	7973294	10911	ENST00000377516	UTS2
uc001aot.3	chr1	-	7975930	8003225	3604	ENST00000377507	TNFRSF9
uc001aou.4	chr1	+	8021713	8045342	11315	ENST00000338639	PARK7
uc001aox.4	chr1	+	8021713	8045342	11315	ENST00000338639	PARK7
uc001aov.4	chr1	+	8021713	8045342	11315	ENST00000338639	PARK7
uc001apa.1	chr1	-	8073486	8075752	54206	ENST00000467067	ERRFI1
uc001aoz.3	chr1	-	8071778	8086393	54206	ENST00000377482	ERRFI1
uc001apb.3	chr1	+	8384389	8404227	50651	ENST00000289877	SLC45A1
uc001apc.3	chr1	+	8390197	8404227	50651	ENST00000497660	SLC45A1
uc001apd.3	chr1	-	8412463	8483747	473	ENST00000337907	RERE
uc010nzx.1	chr1	-	8420171	8585844	473	ENST00000377464	RERE
uc001aph.1	chr1	-	8525029	8813897	473	ENST00000480342	RERE
uc001ape.3	chr1	-	8412463	8877699	473	ENST00000337907	RERE
uc001apf.3	chr1	-	8412463	8877699	473	ENST00000337907	RERE
uc001api.2	chr1	-	8921058	8931635	2023	ENST00000464920	ENO1
uc001apj.2	chr1	-	8921058	8939151	2023	ENST00000234590	ENO1
uc009vml.2	chr1	-	8923172	8939151	2023	ENST00000234590	ENO1
uc009vmm.3	chr1	-	8931005	8939151	2023	ENST00000492343	ENO1
uc021ofu.2	chr1	+	9005892	9012710	765	ENST00000480186	CA6
uc031plc.1	chr1	+	9005892	9034503	765	ENST00000377436	CA6
uc001apm.4	chr1	+	9005892	9035148	765	ENST00000377443	CA6
uc009vmn.4	chr1	+	9005892	9035148	765	ENST00000377443	CA6
uc031pld.1	chr1	+	9005892	9035148	765	ENST00000377443	CA6
uc010oae.2	chr1	+	9352940	9429590	80176	ENST00000328089	SPSB1
uc001apv.3	chr1	+	9415765	9429590	80176	ENST00000328089	SPSB1
uc001aqa.2	chr1	+	9711789	9775827	5293	ENST00000361110	PIK3CD
uc001aqb.4	chr1	+	9711789	9789172	5293	ENST00000536656	PIK3CD
uc021ogb.1	chr1	+	9751524	9789172	5293	ENST00000536656	PIK3CD
uc010oaf.2	chr1	+	9751524	9789172	5293	ENST00000536656	PIK3CD
uc001aqe.4	chr1	+	9770162	9789172	5293	ENST00000536656	PIK3CD
uc001aqf.3	chr1	-	9789078	9793604	22883	ENST00000477264	CLSTN1
uc001aqh.3	chr1	-	9789078	9884550	22883	ENST00000377298	CLSTN1
uc001aqi.3	chr1	-	9789078	9884550	22883	ENST00000377298	CLSTN1
uc010oag.2	chr1	-	9789078	9884550	22883	ENST00000377298	CLSTN1
uc001aqk.1	chr1	-	9908333	9970316	56998	ENST00000377263	CTNNBIP1
uc001aql.1	chr1	-	9908333	9970316	56998	ENST00000377263	CTNNBIP1
uc001aqp.3	chr1	+	10003485	10045556	64802	ENST00000377205	NMNAT1
uc001aqs.4	chr1	+	10093040	10241296	10277	ENST00000377157	UBE4B
uc001aqr.4	chr1	+	10093040	10241296	10277	ENST00000377157	UBE4B
uc021ogc.1	chr1	+	10093040	10241296	10277	ENST00000377157	UBE4B
uc010oai.2	chr1	+	10093040	10241296	10277	ENST00000377157	UBE4B
uc010oaj.2	chr1	+	10093040	10241296	10277	ENST00000377157	UBE4B
uc001aqu.3	chr1	+	10231013	10241296	10277	ENST00000343090	UBE4B
uc009vmt.3	chr1	+	10270763	10334469	23095	ENST00000263934	KIF1B
uc001aqv.4	chr1	+	10270763	10368655	23095	ENST00000377093	KIF1B
uc001aqy.3	chr1	+	10292307	10441655	23095	ENST00000377081	KIF1B
uc001aqz.3	chr1	+	10292307	10441655	23095	ENST00000377081	KIF1B
uc001ara.3	chr1	+	10292307	10441655	23095	ENST00000377081	KIF1B
uc001arb.3	chr1	+	10292307	10441655	23095	ENST00000377081	KIF1B
uc001aqw.4	chr1	+	10270763	10441661	23095	ENST00000377086	KIF1B
uc001aqx.4	chr1	+	10271673	10441661	23095	ENST00000377086	KIF1B
uc001arc.3	chr1	+	10459084	10480201	5226	ENST00000270776	PGD
uc010oak.2	chr1	+	10459084	10480201	5226	ENST00000270776	PGD
uc001ari.4	chr1	+	10509775	10512060	1325	ENST00000377049	CORT
uc001arj.3	chr1	-	10520602	10532613	1676	ENST00000377038	DFFA
uc001ark.3	chr1	-	10520602	10532613	1676	ENST00000377038	DFFA
uc001arl.3	chr1	+	10535002	10580067	5195	ENST00000356607	PEX14
uc001arm.1	chr1	+	10535002	10638484	5195	ENST00000356607	PEX14
uc009vmu.1	chr1	+	10535002	10683924	5195	ENST00000491661	PEX14
uc001arn.3	chr1	+	10535002	10690815	5195	ENST00000356607	PEX14
uc009vmv.3	chr1	+	10535002	10690815	5195	ENST00000356607	PEX14
uc010oam.2	chr1	+	10535002	10690815	5195	ENST00000356607	PEX14
uc010oan.2	chr1	+	10535002	10690815	5195	ENST00000356607	PEX14
uc009vmw.3	chr1	+	10588311	10690815	5195	ENST00000356607	PEX14
uc001arq.1	chr1	-	10718063	10721455	54897	ENST00000492173	CASZ1
uc009vmx.2	chr1	-	10713040	10754507	54897	ENST00000496432	CASZ1
uc001aro.4	chr1	-	10696665	10856733	54897	ENST00000377022	CASZ1
uc001arp.2	chr1	-	10707262	10856733	54897	ENST00000344008	CASZ1
uc001art.3	chr1	+	11072678	11085549	23435	ENST00000240185	TARDBP
uc010oap.2	chr1	+	11072678	11085549	23435	ENST00000240185	TARDBP
uc001aru.3	chr1	-	11086579	11107296	10747	ENST00000400897	MASP2
uc001arv.3	chr1	-	11104854	11107296	10747	ENST00000400898	MASP2
uc001arw.3	chr1	-	11104854	11107296	10747	ENST00000480221	MASP2
uc001arx.2	chr1	-	11105155	11107296	10747	ENST00000480221	MASP2
uc001arz.1	chr1	-	11114648	11120091	6723	ENST00000376957	SRM
uc001asa.3	chr1	-	11126675	11159938	5394	ENST00000376936	EXOSC10
uc001asb.3	chr1	-	11126675	11159938	5394	ENST00000376936	EXOSC10
uc009vmy.1	chr1	-	11139767	11159938	5394	ENST00000376936	EXOSC10
uc009vmz.1	chr1	+	11539294	11541938	57540	ENST00000423056	PTCHD2
uc001asi.1	chr1	+	11561046	11586928	57540	ENST00000389575	PTCHD2
uc001ash.4	chr1	+	11539294	11597640	57540	ENST00000294484	PTCHD2
uc009vnb.1	chr1	-	11709143	11714401	26232	ENST00000354287	FBXO2
uc001asj.3	chr1	-	11708417	11714888	26232	ENST00000354287	FBXO2
uc009vna.3	chr1	-	11708417	11714888	26232	ENST00000354287	FBXO2
uc010oaq.1	chr1	+	11714913	11718713	93611	ENST00000376770	FBXO44
uc001ask.3	chr1	+	11714431	11723384	93611	ENST00000376770	FBXO44
uc001asm.3	chr1	+	11714913	11723384	93611	ENST00000376770	FBXO44
uc001asl.3	chr1	+	11714913	11723384	93611	ENST00000376770	FBXO44
uc001asn.3	chr1	+	11714913	11723384	93611	ENST00000376770	FBXO44
uc010oar.2	chr1	+	11714913	11723384	93611	ENST00000376770	FBXO44
uc010oas.2	chr1	+	11714913	11723384	93611	ENST00000376770	FBXO44
uc001aso.3	chr1	+	11724149	11734409	26270	ENST00000376753	FBXO6
uc001asp.3	chr1	-	11734536	11741495	10459	ENST00000235310	MAD2L2
uc009vnc.3	chr1	-	11734536	11751678	10459	ENST00000235310	MAD2L2
uc001asq.4	chr1	-	11734536	11751678	10459	ENST00000235310	MAD2L2
uc001asu.3	chr1	+	11796141	11810828	57085	ENST00000376629	AGTRAP
uc001ast.3	chr1	+	11796141	11810828	57085	ENST00000314340	AGTRAP
