hg19.knownGene.name	hg19.knownGene.chrom	hg19.knownGene.strand	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.knownToLocusLink.value	hg19.knownToEnsembl.value	hg19.kgXref.geneSymbol
uc001akj.3	chr1	+	3383534	3397677	27237	ENST00000378371	ARHGEF16
uc010nzh.2	chr1	+	3388170	3397677	27237	ENST00000378373	ARHGEF16
uc001akk.3	chr1	-	3404505	3448012	1953	ENST00000294599	MEGF6
uc001akl.3	chr1	-	3404505	3528059	1953	ENST00000356575	MEGF6
uc001ako.3	chr1	-	3547330	3566671	49856	ENST00000270708	WRAP73
uc001akn.3	chr1	-	3547336	3566671	49856	ENST00000378322	WRAP73
uc010nzi.2	chr1	-	3548460	3566671	49856	ENST00000471223	WRAP73
uc009vll.3	chr1	+	3614609	3625098	7161	ENST00000604194	TP73
uc010nzj.2	chr1	+	3607235	3646315	7161	ENST00000603364	TP73
uc001akp.3	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021ofc.1	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021ofd.1	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021ofe.1	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021off.1	chr1	+	3569128	3652765	7161	ENST00000378295	TP73
uc021ofb.1	chr1	+	3569128	3652765	7161	ENST00000604074	TP73
uc001aks.3	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc021ofg.1	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc021ofh.1	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc021ofi.1	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc001akr.3	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc009vlk.2	chr1	+	3607235	3652765	7161	ENST00000378288	TP73
uc010nzk.2	chr1	+	3614609	3652765	7161	ENST00000378288	TP73
uc010nzl.2	chr1	+	3644041	3652765	7161	ENST00000378288	TP73
uc001akx.1	chr1	-	3696783	3713068	57470	ENST00000378251	LRRC47
uc031pky.1	chr1	-	3732843	3753716	9731	ENST00000378230	CEP104
uc001aky.2	chr1	-	3728644	3773797	9731	ENST00000378230	CEP104
uc010nzm.1	chr1	-	3728652	3773797	9731	ENST00000378230	CEP104
uc001akz.3	chr1	-	3750234	3773797	9731	ENST00000494653	CEP104
uc009vln.1	chr1	+	3773844	3782564	1677	ENST00000338895	DFFB
uc001ala.1	chr1	+	3773844	3782962	1677	ENST00000341385	DFFB
uc009vlo.1	chr1	+	3773844	3783050	1677	ENST00000338895	DFFB
uc001alc.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc001ale.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc009vlp.3	chr1	+	3773844	3801993	1677	ENST00000491998	DFFB
uc001alb.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc010nzn.2	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc009vlq.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc009vlr.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc001ald.3	chr1	+	3773844	3801993	1677	ENST00000378209	DFFB
uc001alf.3	chr1	-	3805696	3816857	339448	ENST00000474140	C1orf174
uc009vls.3	chr1	-	3805696	3816857	339448	ENST00000486765	C1orf174
uc031pkz.1	chr1	-	3808872	3816857	339448	ENST00000474140	C1orf174
uc001alm.1	chr1	+	4715104	4837854	55966	ENST00000378190	AJAP1
uc001aln.3	chr1	+	4715104	4843851	55966	ENST00000378191	AJAP1
uc001alr.1	chr1	-	5922870	5928435	261734	ENST00000378161	NPHP4
uc009vlu.2	chr1	-	5946554	5965543	261734	ENST00000466897	NPHP4
uc001alq.2	chr1	-	5922869	6052533	261734	ENST00000489180	NPHP4
uc001als.2	chr1	-	5936013	6052533	261734	ENST00000489180	NPHP4
uc009vlt.2	chr1	-	5937152	6052533	261734	ENST00000489180	NPHP4
uc001alt.3	chr1	-	5937152	6052533	261734	ENST00000378156	NPHP4
uc001alu.3	chr1	+	6086072	6158621	8514	ENST00000602612	KCNAB2
uc009vlv.2	chr1	+	6052357	6161253	8514	ENST00000378097	KCNAB2
uc001alv.2	chr1	+	6086072	6161253	8514	ENST00000378097	KCNAB2
uc001alw.2	chr1	+	6086072	6161253	8514	ENST00000378097	KCNAB2
uc001alx.2	chr1	+	6094347	6161253	8514	ENST00000164247	KCNAB2
uc001aly.2	chr1	+	6105980	6161253	8514	ENST00000378083	KCNAB2
uc009vlw.2	chr1	+	6105980	6161253	8514	ENST00000378083	KCNAB2
uc001alz.2	chr1	-	6161846	6191808	26038	ENST00000378021	CHD5
uc001ama.2	chr1	-	6161846	6204215	26038	ENST00000378021	CHD5
uc001amc.1	chr1	-	6181164	6206931	26038	ENST00000378021	CHD5
uc001amb.2	chr1	-	6161846	6240194	26038	ENST00000262450	CHD5
uc001amd.3	chr1	-	6245079	6259679	6146	ENST00000234875	RPL22
uc001ame.3	chr1	-	6245079	6259679	6146	ENST00000234875	RPL22
uc001amk.3	chr1	-	6281252	6296044	23463	ENST00000343813	ICMT
uc001aml.3	chr1	-	6281252	6296044	23463	ENST00000343813	ICMT
uc009vly.2	chr1	+	6304251	6305638	390992	ENST00000377898	HES3
uc001amq.3	chr1	-	6324331	6419004	11332	ENST00000377842	ACOT7
uc001amr.3	chr1	-	6324331	6420764	11332	ENST00000377845	ACOT7
uc001ams.3	chr1	-	6324331	6445883	11332	ENST00000377855	ACOT7
uc001amt.3	chr1	-	6324331	6453826	11332	ENST00000361521	ACOT7
uc001amu.3	chr1	-	6324331	6453826	11332	ENST00000361521	ACOT7
uc001amx.3	chr1	-	6475293	6479979	54626	ENST00000377834	HES2
uc001amw.3	chr1	-	6472497	6484730	54626	ENST00000377837	HES2
uc001amy.3	chr1	+	6484847	6521004	83715	ENST00000377828	ESPN
uc001amz.3	chr1	+	6508102	6521004	83715	ENST00000461727	ESPN
uc031pla.1	chr1	-	6521213	6523682	8718	ENST00000473343	TNFRSF25
uc001anf.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001ang.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001anh.3	chr1	-	6521213	6526255	8718	ENST00000377782	TNFRSF25
uc001ana.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001anb.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001anc.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001and.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc009vlz.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001ane.3	chr1	-	6521213	6526255	8718	ENST00000356876	TNFRSF25
uc001ani.1	chr1	-	6524170	6526255	8718	ENST00000453341	TNFRSF25
uc001anj.1	chr1	-	6526151	6531643	57449	ENST00000400913	PLEKHG5
uc009vma.1	chr1	-	6526151	6537718	57449	ENST00000489097	PLEKHG5
uc010nzr.1	chr1	-	6526151	6545529	57449	ENST00000400913	PLEKHG5
uc001ank.1	chr1	-	6526151	6546014	57449	ENST00000400913	PLEKHG5
uc009vmb.2	chr1	-	6526151	6550654	57449	ENST00000340850	PLEKHG5
uc001anl.2	chr1	-	6526151	6550654	57449	ENST00000340850	PLEKHG5
uc001anm.2	chr1	-	6526151	6551761	57449	ENST00000400913	PLEKHG5
uc001ann.1	chr1	-	6526151	6556756	57449	ENST00000377748	PLEKHG5
uc031plb.1	chr1	-	6526151	6557156	57449	ENST00000377748	PLEKHG5
uc001ano.1	chr1	-	6526151	6557484	57449	ENST00000377748	PLEKHG5
uc001anq.2	chr1	-	6526151	6580121	57449	ENST00000377748	PLEKHG5
uc001anp.2	chr1	-	6526151	6580121	57449	ENST00000377748	PLEKHG5
uc001ans.3	chr1	-	6581406	6614658	79707	ENST00000377705	NOL9
uc010nzs.2	chr1	-	6581406	6614658	79707	ENST00000377705	NOL9
uc001ant.3	chr1	+	6615337	6639817	80835	ENST00000333172	TAS1R1
uc001anu.3	chr1	+	6615337	6639817	80835	ENST00000333172	TAS1R1
uc021ofp.1	chr1	+	6630968	6639817	80835	ENST00000333172	TAS1R1
uc009vmc.2	chr1	+	6640055	6649340	3104	ENST00000377674	ZBTB48
uc001anx.3	chr1	+	6640062	6649340	3104	ENST00000377674	ZBTB48
uc009vmd.2	chr1	+	6640068	6649340	3104	ENST00000377674	ZBTB48
uc001any.2	chr1	+	6645361	6649340	3104	ENST00000482360	ZBTB48
uc009vme.3	chr1	-	6650783	6659871	9903	ENST00000377658	KLHL21
uc001anz.1	chr1	-	6650778	6662929	9903	ENST00000377663	KLHL21
uc001aoa.3	chr1	-	6650783	6662929	9903	ENST00000377658	KLHL21
uc001aob.4	chr1	+	6673755	6684093	148479	ENST00000377648	PHF13
uc001aoc.3	chr1	+	6684924	6693642	90326	ENST00000054650	THAP3
uc001aod.3	chr1	+	6685209	6693642	90326	ENST00000054650	THAP3
uc001aoe.2	chr1	+	6685209	6695646	90326	ENST00000377627	THAP3
uc001aof.2	chr1	-	6694227	6761966	55735	ENST00000377577	DNAJC11
uc001aog.2	chr1	-	6694227	6761966	55735	ENST00000377577	DNAJC11
uc010nzu.1	chr1	-	6694227	6761966	55735	ENST00000377577	DNAJC11
uc001aoh.3	chr1	+	6845383	6932107	23261	ENST00000473578	CAMTA1
uc021ofq.1	chr1	+	6845383	6948261	23261	ENST00000476163	CAMTA1
uc021ofr.1	chr1	+	6845383	6948261	23261	ENST00000476163	CAMTA1
uc010nzv.1	chr1	+	7732053	7805082	23261	ENST00000439411	CAMTA1
uc001aoi.3	chr1	+	6845383	7829766	23261	ENST00000303635	CAMTA1
uc001aok.4	chr1	+	7740147	7829766	23261	ENST00000303635	CAMTA1
uc001aoj.3	chr1	+	7796403	7829766	23261	ENST00000303635	CAMTA1
uc009vmf.3	chr1	+	7804894	7829766	23261	ENST00000303635	CAMTA1
uc001aol.3	chr1	+	7831328	7841492	9341	ENST00000054666	VAMP3
uc001aon.3	chr1	+	7844379	7864018	8863	ENST00000377541	PER3
uc009vmg.1	chr1	+	7844439	7890221	8863	ENST00000377532	PER3
uc009vmh.1	chr1	+	7844713	7890221	8863	ENST00000377532	PER3
uc001aoo.3	chr1	+	7844713	7905237	8863	ENST00000377532	PER3
uc001aop.3	chr1	+	7844713	7905237	8863	ENST00000377532	PER3
uc010nzw.2	chr1	+	7844713	7905237	8863	ENST00000377532	PER3
uc001aor.3	chr1	-	7907671	7913178	10911	ENST00000361696	UTS2
uc001aos.3	chr1	-	7907671	7913565	10911	ENST00000377516	UTS2
